250;-8.25;13.63;
251;-8.31;13.56;
252;-8.38;13.56;
253;-8.44;13.56;
254;-8.44;13.5;
255;-8.5;13.5;
256;-8.56;13.5;
257;-8.63;13.5;
258;-8.69;13.44;
259;-8.69;13.44;
260;-8.75;13.44;
261;-8.81;13.44;
262;-8.88;13.38;
263;-8.88;13.38;
264;-8.94;13.38;
265;-8.94;13.38;
266;-9;13.31;
267;-9.06;13.31;
268;-9.13;13.31;
269;-9.13;13.31;
270;-9.19;13.25;
271;-9.25;13.25;
272;-9.25;13.25;
273;-9.31;13.25;
274;-9.38;13.19;
275;-9.38;13.19;
276;-9.44;13.19;
277;-9.44;13.19;
278;-9.5;13.19;
279;-9.56;13.13;
280;-9.56;13.13;
281;-9.63;13.13;
282;-9.69;13.13;
283;-9.69;13.13;
284;-9.75;13.06;
285;-9.75;13.06;
286;-9.81;13.06;
287;-9.88;13.06;
288;-9.88;13.06;
289;-9.94;13;
290;-9.94;13;
291;-10;13;
292;-10;13;
293;-10.06;13;
294;-10.13;12.94;
295;-10.13;12.94;
296;-10.19;12.94;
297;-10.19;12.94;
298;-10.25;12.94;
299;-10.25;12.88;
300;-10.31;12.88;
301;-10.31;12.88;
302;-10.38;12.88;
303;-10.38;12.88;
304;-10.44;12.81;
305;-10.44;12.81;
306;-10.5;12.81;
307;-10.5;12.81;
308;-10.56;12.81;
309;-10.56;12.81;
310;-10.63;12.75;
311;-10.69;12.75;
312;-10.69;12.75;
313;-10.69;12.75;
314;-10.75;12.75;
315;-10.81;12.75;
316;-10.81;12.69;
317;-10.81;12.69;
318;-10.88;12.69;
319;-10.88;12.69;
320;-10.94;12.69;
321;-10.94;12.63;
322;-11;12.63;
323;-11;12.63;
324;-11.06;12.63;
325;-11.06;12.63;
326;-11.06;12.56;
327;-11.13;12.56;
328;-11.13;12.56;
329;-11.19;12.56;
330;-11.19;12.56;
331;-11.25;12.56;
332;-11.25;12.56;
333;-11.25;12.56;
334;-11.31;12.56;
335;-11.31;12.5;
336;-11.31;12.5;
337;-11.38;12.5;
338;-11.38;12.5;
339;-11.44;12.5;
340;-11.44;12.44;
341;-11.44;12.44;
342;-11.5;12.44;
343;-11.5;12.44;
344;-11.5;12.44;
345;-11.56;12.44;
346;-11.56;12.44;
347;-11.63;12.38;
348;-11.63;12.38;
349;-11.63;12.38;
350;-11.69;12.38;
351;-11.69;12.38;
352;-11.69;12.38;
353;-11.69;12.38;
354;-11.75;12.38;
355;-11.75;12.31;
356;-11.81;12.31;
357;-11.81;12.31;
358;-11.81;12.31;
359;-11.88;12.31;
360;-11.88;12.31;
361;-11.88;12.31;
362;-11.94;12.31;
363;-11.94;12.31;
364;-11.94;12.25;
365;-12;12.25;
366;-12;12.25;
367;-12;12.25;
368;-12.06;12.25;
369;-12.06;12.25;
370;-12.13;12.25;
371;-12.13;12.25;
372;-12.13;12.25;
373;-12.19;12.25;
374;-12.19;12.19;
375;-12.19;12.19;
376;-12.19;12.19;
377;-12.25;12.19;
378;-12.25;12.19;
379;-12.25;12.19;
380;-12.31;12.19;
381;-12.31;12.19;
382;-12.31;12.19;
383;-12.31;12.13;
384;-12.38;12.13;
385;-12.38;12.13;
386;-12.38;12.13;
387;-12.44;12.13;
388;-12.44;12.13;
389;-12.44;12.13;
390;-12.44;12.13;
391;-12.5;12.13;
392;-12.5;12.13;
393;-12.5;12.06;
394;-12.56;12.06;
395;-12.56;12.06;
396;-12.56;12.06;
397;-12.56;12.06;
398;-12.63;12.06;
399;-12.63;12.06;
400;-12.63;12.06;
401;-12.63;12.06;
402;-12.69;12.06;
403;-12.69;12.06;
404;-12.69;12.06;
405;-12.69;12.06;
406;-12.75;12;
407;-12.75;12;
408;-12.75;12;
409;-12.75;12;
410;-12.75;12;
411;-12.81;12;
412;-12.81;12;
413;-12.81;12;
414;-12.81;12;
415;-12.88;12;
416;-12.88;12;
417;-12.88;11.94;
418;-12.88;11.94;
419;-12.94;11.94;
420;-12.94;11.94;
;;;
;;;
;;;
;;;
