0;20.94;20.56
1;20.94;20.5
2;20.94;20.56
3;20.94;20.5
4;20.94;20.5
5;21;20.5
6;20.94;20.5
7;20.94;20.56
8;21;20.5
9;20.94;20.56
10;21;20.56
11;21;20.56
12;21;20.56
13;20.94;20.56
14;20.94;20.5
15;21;20.56
16;20.94;20.5
17;21;20.5
18;20.94;20.56
19;20.94;20.56
20;20.94;20.56
21;20.94;20.56
22;20.94;20.56
23;21;20.56
24;20.94;20.56
25;20.94;20.56
26;20.94;20.56
27;20.94;20.56
28;20.94;20.56
29;20.94;20.56
30;20.94;20.56
31;20.94;20.56
32;20.94;20.56
33;21;20.56
34;21;20.56
35;21;20.56
36;20.94;20.56
37;20.94;20.56
38;20.94;20.56
39;20.94;20.56
40;21;20.56
41;20.94;20.56
42;20.94;20.56
43;20.94;20.56
44;20.94;20.56
45;20.94;20.56
46;20.94;20.56
47;20.94;20.56
48;20.94;20.56
49;20.94;20.56
50;20.94;20.56
51;21;20.56
52;21;20.56
53;21;20.56
54;21;20.56
55;20.94;20.56
